BE,DE,DK1,DK2,FI,FR,NL,NO1,NO2,NO3,NO4,NO5,PL,SE1,SE2,SE3,SE4,UK
39968.0,196605.0,1877.0,1409.0,9229.0,72390.0,39176.0,4722.0,4082.0,2354.0,2128.0,2219.0,15557.0,966.0,1837.0,9560.0,2343.0,56576.0
38208.0,190840.0,1843.0,1368.0,8893.0,70929.0,37824.0,4659.0,4139.0,2370.0,2091.0,2211.0,14727.0,1120.0,1819.0,9520.0,2267.0,53881.0
36607.0,184978.0,1795.0,1305.0,8735.0,69773.0,35827.0,4552.0,4039.0,2307.0,2078.0,2128.0,13979.0,1092.0,1835.0,9277.0,2281.0,54331.0
35194.0,179292.0,1745.0,1236.0,8626.0,66417.0,33846.0,4469.0,3956.0,2273.0,2037.0,2148.0,13454.0,1059.0,1794.0,9132.0,2313.0,48943.0
34268.0,177510.0,1743.0,1190.0,8674.0,64182.0,32624.0,4442.0,3900.0,2286.0,2013.0,2114.0,13306.0,1019.0,1775.0,9083.0,2372.0,46006.0
33950.0,178416.0,1751.0,1190.0,8845.0,63859.0,32504.0,4488.0,3915.0,2333.0,2037.0,2131.0,13176.0,990.0,1752.0,9102.0,2424.0,43664.0
33714.0,179676.0,1767.0,1233.0,8877.0,63921.0,33167.0,4646.0,3972.0,2339.0,2036.0,2138.0,13165.0,1045.0,1862.0,9353.0,2395.0,42367.0
32490.0,185756.0,1903.0,1274.0,9044.0,64117.0,34553.0,4788.0,4024.0,2354.0,2116.0,2132.0,13030.0,1066.0,1872.0,9567.0,2489.0,41668.0
32717.0,191110.0,1985.0,1307.0,8994.0,63861.0,35709.0,4840.0,4096.0,2324.0,2148.0,2159.0,12945.0,1033.0,1908.0,9629.0,2593.0,43781.0
33358.0,200580.0,2015.0,1363.0,9074.0,64277.0,37250.0,4930.0,4183.0,2351.0,2157.0,2232.0,13455.0,1010.0,1883.0,9733.0,2541.0,46274.0
34710.0,209462.0,2102.0,1461.0,9205.0,65100.0,39733.0,5050.0,4278.0,2322.0,2139.0,2253.0,14095.0,1192.0,1893.0,10024.0,2561.0,50411.0
35595.0,217873.0,2194.0,1542.0,9307.0,65875.0,41728.0,5185.0,4298.0,2344.0,2154.0,2282.0,14718.0,1179.0,2002.0,10248.0,2704.0,54445.0
36369.0,222609.0,2255.0,1583.0,9338.0,67460.0,47675.0,5246.0,4361.0,2490.0,2231.0,2301.0,15188.0,1098.0,1938.0,10425.0,2717.0,58097.0
36352.0,218109.0,2263.0,1615.0,9456.0,65706.0,47805.0,5250.0,4461.0,2526.0,2281.0,2308.0,15637.0,1107.0,1941.0,10528.0,2698.0,62443.0
35761.0,215330.0,2233.0,1623.0,9831.0,62688.0,48270.0,5264.0,4508.0,2565.0,2228.0,2329.0,15699.0,1196.0,1917.0,10642.0,2776.0,64378.0
35678.0,217162.0,2304.0,1682.0,10159.0,60798.0,47316.0,5356.0,4608.0,2613.0,2256.0,2371.0,15882.0,1178.0,2125.0,10902.0,2882.0,64309.0
36067.0,225586.0,2486.0,1777.0,10188.0,61111.0,48347.0,5451.0,4602.0,2694.0,2324.0,2413.0,17216.0,1260.0,2074.0,11095.0,3085.0,64944.0
38657.0,242165.0,2633.0,1863.0,10206.0,65620.0,50732.0,5411.0,4577.0,2567.0,2259.0,2408.0,17646.0,1291.0,2067.0,11079.0,3190.0,68202.0
39657.0,242835.0,2627.0,1864.0,10184.0,69967.0,49197.0,5298.0,4510.0,2584.0,2239.0,2383.0,17544.0,1275.0,2145.0,10858.0,3154.0,72093.0
39409.0,240587.0,2510.0,1781.0,10023.0,71682.0,46866.0,5148.0,4413.0,2654.0,2262.0,2351.0,17553.0,1260.0,2012.0,10580.0,3022.0,71030.0
38293.0,229377.0,2361.0,1686.0,9747.0,70462.0,45459.0,5005.0,4329.0,2633.0,2248.0,2320.0,17264.0,1197.0,2005.0,10334.0,2921.0,68879.0
37687.0,221378.0,2263.0,1594.0,9996.0,68173.0,43513.0,4841.0,4237.0,2722.0,2213.0,2262.0,16560.0,1171.0,1871.0,10042.0,2803.0,65157.0
39585.0,221096.0,2110.0,1479.0,9830.0,69188.0,42254.0,4637.0,4131.0,2609.0,2186.0,2208.0,15860.0,1101.0,1875.0,9611.0,2664.0,60572.0
40247.0,207798.0,1976.0,1437.0,9366.0,70135.0,39295.0,4442.0,3993.0,2471.0,2156.0,2132.0,14706.0,1136.0,1825.0,9279.0,2551.0,57921.0
37956.0,193393.0,1852.0,1361.0,8956.0,67584.0,35981.0,4208.0,3889.0,2424.0,2045.0,2115.0,13721.0,1125.0,1756.0,8795.0,2523.0,55185.0
36006.0,184579.0,1711.0,1285.0,8721.0,65510.0,33211.0,4050.0,3794.0,2355.0,2002.0,2087.0,13258.0,1110.0,1731.0,8579.0,2502.0,50234.0
34285.0,180095.0,1683.0,1260.0,8662.0,64522.0,31504.0,3960.0,3807.0,2334.0,1950.0,2070.0,13011.0,1120.0,1594.0,8471.0,2462.0,48781.0
33284.0,178039.0,1682.0,1262.0,8739.0,61798.0,30801.0,3913.0,3748.0,2307.0,1958.0,2040.0,13007.0,1055.0,1621.0,8460.0,2460.0,45489.0
33107.0,181936.0,1701.0,1319.0,9006.0,60686.0,31086.0,3939.0,3766.0,2301.0,1964.0,2054.0,13241.0,1119.0,1699.0,8482.0,2498.0,44822.0
34067.0,191271.0,1774.0,1330.0,9608.0,62060.0,33018.0,4085.0,3921.0,2336.0,2048.0,2074.0,13986.0,1127.0,1916.0,8793.0,2587.0,42970.0
35999.0,205765.0,2071.0,1453.0,10012.0,64662.0,37423.0,4416.0,4072.0,2456.0,2090.0,2161.0,15720.0,1243.0,1983.0,9501.0,2825.0,43685.0
36906.0,226673.0,2294.0,1575.0,10333.0,66982.0,43961.0,4774.0,4306.0,2644.0,2220.0,2299.0,16900.0,1245.0,2104.0,10235.0,3033.0,47852.0
39075.0,243703.0,2504.0,1686.0,10443.0,68828.0,49833.0,5037.0,4532.0,2806.0,2297.0,2413.0,17783.0,1255.0,2104.0,10652.0,3161.0,52465.0
40974.0,253555.0,2569.0,1769.0,10340.0,70472.0,53782.0,5194.0,4607.0,2803.0,2317.0,2456.0,18763.0,1263.0,1944.0,10875.0,3197.0,56625.0
42226.0,262459.0,2674.0,1841.0,10288.0,71681.0,56153.0,5313.0,4628.0,2879.0,2389.0,2514.0,19358.0,1291.0,1827.0,11125.0,3272.0,61834.0
43123.0,265986.0,2673.0,1850.0,10266.0,72248.0,56086.0,5351.0,4709.0,2877.0,2392.0,2522.0,19744.0,1322.0,1878.0,11272.0,3311.0,65579.0
43080.0,264007.0,2643.0,1831.0,10329.0,73443.0,55251.0,5358.0,4736.0,2923.0,2427.0,2529.0,20031.0,1359.0,1863.0,11226.0,3360.0,67771.0
42423.0,261196.0,2626.0,1823.0,10498.0,71451.0,54264.0,5286.0,4667.0,2914.0,2470.0,2521.0,20492.0,1184.0,1898.0,11211.0,3368.0,68571.0
41280.0,257990.0,2608.0,1788.0,10748.0,69123.0,54169.0,5311.0,4703.0,2987.0,2494.0,2515.0,20394.0,1190.0,2009.0,11275.0,3350.0,67932.0
40902.0,256926.0,2624.0,1806.0,10945.0,66628.0,55597.0,5432.0,4784.0,3015.0,2388.0,2556.0,20516.0,1320.0,2147.0,11639.0,3416.0,67425.0
41578.0,264615.0,2805.0,1936.0,10903.0,66234.0,56726.0,5577.0,4924.0,3002.0,2337.0,2577.0,21504.0,1347.0,2050.0,11982.0,3547.0,68423.0
44847.0,272275.0,3081.0,2097.0,10911.0,69985.0,60345.0,5583.0,4882.0,2960.0,2343.0,2567.0,21449.0,1367.0,1974.0,12011.0,3573.0,72954.0
45716.0,272172.0,3020.0,2072.0,10843.0,73818.0,57364.0,5509.0,4826.0,2956.0,2331.0,2550.0,21110.0,1351.0,2020.0,11808.0,3497.0,80795.0
44227.0,262291.0,2804.0,1922.0,nan,73971.0,55616.0,5419.0,4784.0,2977.0,2352.0,2529.0,20924.0,1296.0,1987.0,11545.0,3407.0,81344.0
42064.0,245547.0,2543.0,1777.0,10231.0,70938.0,53612.0,5243.0,4659.0,2977.0,2351.0,2504.0,20286.0,1296.0,1915.0,11223.0,3258.0,79407.0
39973.0,235934.0,2444.0,1688.0,10306.0,67746.0,50528.0,5064.0,4533.0,2824.0,2310.0,2438.0,19114.0,1293.0,1784.0,10857.0,3131.0,74803.0
41450.0,225994.0,2251.0,1572.0,10105.0,68455.0,46881.0,4875.0,4451.0,2664.0,2316.0,2395.0,17908.0,1221.0,1843.0,10390.0,2917.0,68919.0
41760.0,203727.0,2013.0,1518.0,9660.0,69539.0,44718.0,4659.0,4287.0,2637.0,2261.0,2320.0,16642.0,1220.0,1791.0,10113.0,2864.0,63842.0
39522.0,186921.0,1966.0,1426.0,9218.0,66642.0,43474.0,4454.0,4216.0,2617.0,2187.0,2284.0,15491.0,1149.0,1905.0,9788.0,2702.0,58565.0
37179.0,178105.0,1925.0,1353.0,8972.0,64227.0,42002.0,4296.0,4100.0,2604.0,2174.0,2240.0,14867.0,1110.0,1847.0,9590.0,2727.0,52614.0
35603.0,171018.0,1816.0,1301.0,8880.0,62716.0,40853.0,4220.0,4026.0,2597.0,2158.0,2217.0,14560.0,1089.0,1801.0,9878.0,2696.0,50179.0
34202.0,166749.0,1754.0,1287.0,8847.0,59396.0,40186.0,4222.0,4009.0,2589.0,2142.0,2205.0,14399.0,1082.0,1779.0,10058.0,2706.0,45248.0
34142.0,168302.0,1736.0,1280.0,8922.0,57700.0,39361.0,4229.0,4030.0,2588.0,2115.0,2200.0,14584.0,1061.0,1756.0,10056.0,2727.0,43003.0
34478.0,170499.0,1778.0,1301.0,9220.0,58131.0,40549.0,4265.0,4101.0,2558.0,2116.0,2203.0,14755.0,1107.0,1816.0,9713.0,2796.0,40812.0
35686.0,175263.0,1931.0,1391.0,9312.0,59493.0,41853.0,4375.0,4174.0,2601.0,2167.0,2240.0,15689.0,1131.0,1880.0,10042.0,2880.0,40522.0
36039.0,186912.0,2138.0,1498.0,9591.0,60986.0,44088.0,4553.0,4220.0,2701.0,2171.0,2283.0,16285.0,1129.0,1929.0,10343.0,2949.0,42864.0
38422.0,199869.0,2293.0,1595.0,9663.0,62703.0,47672.0,4819.0,4347.0,2762.0,2231.0,2347.0,17006.0,1158.0,1996.0,10558.0,3077.0,49478.0
40469.0,213695.0,2401.0,1661.0,9742.0,64814.0,51922.0,5101.0,4502.0,2887.0,2319.0,2439.0,18138.0,1175.0,1994.0,10774.0,3309.0,55047.0
42820.0,223333.0,2456.0,1722.0,9850.0,66427.0,54683.0,5304.0,4641.0,2988.0,2373.0,2519.0,18847.0,1174.0,2033.0,11165.0,3405.0,62075.0
44272.0,232171.0,2405.0,1732.0,9908.0,67027.0,57834.0,5366.0,4720.0,3003.0,2407.0,2522.0,19194.0,1183.0,2068.0,11385.0,3375.0,68862.0
44512.0,231927.0,2348.0,1726.0,9979.0,68498.0,59284.0,5368.0,4756.0,2992.0,2413.0,2537.0,19228.0,1171.0,2009.0,11384.0,3278.0,72360.0
44017.0,230145.0,2332.0,1716.0,10033.0,66851.0,59422.0,5301.0,4713.0,2972.0,2411.0,2530.0,19455.0,1139.0,2057.0,11312.0,3233.0,74015.0
43262.0,223309.0,2278.0,1708.0,10445.0,64325.0,60405.0,5255.0,4774.0,2952.0,2428.0,2526.0,19217.0,1156.0,2109.0,11441.0,3219.0,73037.0
43335.0,222986.0,2243.0,1725.0,10853.0,61852.0,61830.0,5369.0,4824.0,2895.0,2444.0,2565.0,19568.0,1245.0,2143.0,11730.0,3312.0,70829.0
44289.0,233469.0,2468.0,1870.0,10955.0,60906.0,62913.0,5596.0,4913.0,2944.0,2471.0,2627.0,20674.0,1298.0,2191.0,12162.0,3483.0,69674.0
46060.0,249466.0,2778.0,2047.0,11077.0,63367.0,64507.0,5647.0,4885.0,2983.0,2470.0,2640.0,20548.0,1261.0,2208.0,12214.0,3569.0,73048.0
46011.0,250628.0,2730.0,2022.0,10995.0,66458.0,62653.0,5625.0,4907.0,3010.0,2471.0,2625.0,20470.0,1192.0,2124.0,12046.0,3503.0,80321.0
44392.0,244906.0,2464.0,1862.0,10657.0,66400.0,59202.0,5449.0,4835.0,2943.0,2425.0,2571.0,20158.0,1237.0,2106.0,11694.0,3352.0,81446.0
42766.0,227598.0,2318.0,1730.0,10238.0,63519.0,55834.0,5278.0,4716.0,2872.0,2385.0,2525.0,19536.0,1135.0,2037.0,11353.0,3219.0,78804.0
40928.0,216299.0,2161.0,1632.0,10420.0,60554.0,53032.0,5169.0,4631.0,2783.0,2353.0,2479.0,18338.0,1130.0,2060.0,10940.0,3106.0,74110.0
41701.0,216032.0,2054.0,1517.0,10280.0,61320.0,49720.0,5003.0,4559.0,2833.0,2308.0,2446.0,17324.0,1088.0,2041.0,10582.0,2960.0,69042.0
41686.0,205306.0,1950.0,1428.0,9835.0,62725.0,46417.0,4886.0,4482.0,2824.0,2279.0,2400.0,16107.0,1012.0,1953.0,10245.0,2810.0,62780.0
39764.0,194961.0,1791.0,1395.0,9413.0,60265.0,44132.0,4701.0,4253.0,2709.0,2216.0,2330.0,15072.0,1113.0,1895.0,10050.0,2706.0,58302.0
